"Front","Back","Domain","Difficulty","Tags"
"Is Claude's Messages API stateful or stateless?","Stateless - Claude does not remember previous API calls; the application must send the full current context (system prompt, prior messages, state, retrieved docs, tool results) on each request.","Prompt Engineering & Structured Output","easy","stateless,messages-api"
"An assistant forgets a fact from two turns ago in a short conversation. Most likely cause?","The application is not sending those prior messages; there is no magic memory flag - the model only sees what the request contains.","Prompt Engineering & Structured Output","medium","stateless,context"
"Is treating a session_id as model memory correct?","No. A session_id can locate stored context in your system but does not change what Claude sees; the model only sees the request contents.","Prompt Engineering & Structured Output","medium","stateless,session-id"
"Where does the system prompt go in the Messages API?","In the top-level system parameter, not a ""system"" role inside messages; user and assistant turns go in messages.","Prompt Engineering & Structured Output","easy","messages-api,system-prompt"
"How is tool use represented in Messages API content blocks?","Assistant messages can contain tool_use blocks and user messages can contain tool_result blocks.","Prompt Engineering & Structured Output","easy","messages-api,tool-use"
"What are the two related ways to get machine-readable output from Claude?","JSON structured outputs via output_config.format with a JSON Schema, and tool use / strict tool use that constrains tool-call parameters.","Prompt Engineering & Structured Output","easy","structured-output,tool-use"
"When use JSON structured outputs vs tool use for structured output?","Use JSON structured outputs when the final assistant response itself should be JSON; use tool use when the structured output represents a function call, extraction step, or intermediate agent action.","Prompt Engineering & Structured Output","easy","structured-output,tool-use"
"What does tool_choice: auto mean?","Claude may call a tool or answer normally - suitable for general agents where tool use is optional.","Prompt Engineering & Structured Output","easy","tool-choice,auto"
"What does tool_choice: any guarantee?","Claude must call one of the provided tools - useful for extraction where the document type is unknown but one tool from a set must be used.","Prompt Engineering & Structured Output","easy","tool-choice,any"
"What does tool_choice with a specific tool name do?","Forces Claude to call that specific named tool - e.g., a pipeline stage that must produce one schema before enrichment.","Prompt Engineering & Structured Output","easy","tool-choice,tool"
"What does tool_choice: none do?","Prevents Claude from calling tools - a pure text response or a step where tools are unsafe or unneeded.","Prompt Engineering & Structured Output","easy","tool-choice,none"
"Why is tool_choice: ""any"" better than auto plus a prompt saying ""use a tool""?","auto with instructions can still produce conversational text in edge cases; any cannot - it guarantees a tool call without choosing the schema in advance.","Prompt Engineering & Structured Output","hard","tool-choice,reliability"
"To guarantee a specific extraction tool runs first, what is reliable vs unreliable?","Reliable: tool_choice with that specific tool name for the first call. Unreliable: reordering tool definitions or relying on system-prompt priority.","Prompt Engineering & Structured Output","hard","tool-choice,pipeline"
