"Front","Back","Domain","Difficulty","Tags"
"From what does an agent select which tool to use?","From the tools' names, descriptions, parameter schemas, and examples - tool design is prompt design plus API design.","Tool Design & MCP Integration","easy","tool-design,selection"
"List the things a good tool description should explain.","What the tool does, when to use it, when not to use it, required input formats, what the output contains, and important limitations and safety concerns.","Tool Design & MCP Integration","easy","tool-description,design"
"When are input_examples especially helpful in a tool definition?","For nested objects, date formats, identifiers, and domain-specific enums, where a schema alone is ambiguous.","Tool Design & MCP Integration","easy","tool-examples,schema"
"Why use an enum instead of a free-text string for a closed set like a repository source?","Enums encode stable closed sets so the model picks a valid option; free text increases ambiguity and invalid values.","Tool Design & MCP Integration","easy","enum,parameter-design"
"Describe the lookup-then-act pattern for ambiguous entity names.","First a search tool returns IDs and distinguishing metadata; then the action tool operates only on an unambiguous ID, so the model never acts on a guessed name.","Tool Design & MCP Integration","easy","lookup-then-act,disambiguation"
"A project lookup returns several candidates the agent cannot confidently choose between before a destructive op. Best design?","Present the candidates to the user with differentiating fields and let them select one; a single-click confirmation beats asking the model to guess and run a destructive operation.","Tool Design & MCP Integration","medium","disambiguation,safety"
"How does disambiguation differ from preview-then-execute?","Disambiguation resolves which entity the user means; preview-then-execute confirms what action will happen to it - they are complementary, not substitutes.","Tool Design & MCP Integration","hard","disambiguation,preview-execute"
"If the user already has a device_id, why should a downstream tool accept device_id directly?","Prefer stable identifiers over derived intermediate values; making the tool resolve mechanical dependencies internally avoids an unnecessary lookup and its failure coupling.","Tool Design & MCP Integration","medium","stable-ids,composition"
"Why split a single log_workout(type,value,unit) tool into log_cardio_session and log_strength_session?","When parameters have interdependent constraints, separate tools make the schema itself encode the distinction and prevent invalid combinations.","Tool Design & MCP Integration","medium","tool-splitting,schema"
"Why replace a unified manage_order(action,...) tool with separate operation tools?","When operations have different required fields, a unified tool causes omitted parameters and irrelevant fields; separate tools give a simpler choice and cleaner schema.","Tool Design & MCP Integration","medium","tool-splitting,parameter-design"
"What makes a tool output good for the next decision?","It is structured, compact, and includes identifiers downstream tools can use - not human-readable prose alone.","Tool Design & MCP Integration","easy","tool-output,chaining"
"Three carriers represent shipment status differently. What should the tool return?","A normalized consistent schema (e.g., status, estimated_delivery, delay_reason, requires_action) rather than forcing the model to learn carrier-specific code mappings.","Tool Design & MCP Integration","medium","normalization,tool-output"
"Should ""no matches found"" be returned as an isError result?","No. It is a successful result with an empty results array; marking it an error makes the agent retry a valid query as though the tool failed.","Tool Design & MCP Integration","medium","empty-result,error-design"
"How should a tool handle a paginated backend API by default?","Return the first page, a total_count (or estimate), and a cursor/continuation token; do not auto-fetch hundreds of items the user may not need.","Tool Design & MCP Integration","easy","pagination,tool-output"
"Name three good candidates for combining operations into a composite tool.","Mechanical sequences needing no intermediate decision, latency-heavy lookups that always co-occur, and atomic operations where separate calls create race conditions.","Tool Design & MCP Integration","medium","tool-composition,atomicity"
"When should steps stay separate rather than be combined into a composite tool?","When the model must inspect intermediate results before deciding; selection, judgment, and editorial choice belong outside composite tools.","Tool Design & MCP Integration","medium","tool-composition,judgment"
"Why combine check-availability and reserve-slot into one atomic find_and_book tool?","Separate calls risk another user taking the slot between them; an atomic operation prevents that race. A hold_slot tool adds a new race window and an extra step.","Tool Design & MCP Integration","hard","atomicity,race-condition"
"Why should a research workflow NOT combine retrieve-sources and write-conclusion?","The model needs to inspect the sources and preserve provenance; hiding that decision point inside a composite tool removes required judgment.","Tool Design & MCP Integration","hard","tool-composition,provenance"
"Why does auto-fetching every page of an external API usually hurt?","It causes long latency for broad queries, wastes tokens when only the first items are needed, and can blow context on very large result sets.","Tool Design & MCP Integration","medium","pagination,context"
"What happens to tool selection as the number of similar tools grows past a handful?","Accuracy drops noticeably; do not expose dozens of similar tools at once by default.","Tool Design & MCP Integration","easy","tool-selection,scaling"
"Describe progressive availability for a large tool set.","Start with discovery tools (e.g., search_available_connectors), return a ranked shortlist, then dynamically add the selected matching tools so the agent uses them on later turns.","Tool Design & MCP Integration","medium","progressive-availability,discovery"
