"Front","Back","Domain","Difficulty","Tags"
"In one sentence, what is context management?","Context management is state management: the model sees a request, not your database, so you decide what to include.","Context Management & Reliability","easy","context-management,state"
"Match need to strategy: recent conversational flow.","Keep recent turns verbatim.","Context Management & Reliability","easy","context-strategy,sliding-window"
"Match need to strategy: long-term narrative continuity.","Progressive summaries that extract decisions and themes.","Context Management & Reliability","easy","context-strategy,summarization"
"Match need to strategy: current user preferences.","A structured state object representing current truth.","Context Management & Reliability","easy","context-strategy,structured-state"
"Match need to strategy: exact facts and numbers.","Retrieval from source or a structured fact store.","Context Management & Reliability","easy","context-strategy,retrieval"
"Match need to strategy: persistent creative canon.","A compact ""bible"" or reference section retained verbatim.","Context Management & Reliability","easy","context-strategy,reference-section"
"Match need to strategy: tool-heavy workflows.","Extract the relevant fields and discard verbose payloads.","Context Management & Reliability","easy","context-strategy,tool-compression"
"How does a sliding window work and when does it fail?","It keeps the most recent messages and drops older ones - simple and cheap, but it fails when users refer back to earlier decisions, preferences, or exact data.","Context Management & Reliability","easy","sliding-window,limits"
"When is a sliding window the right choice based on production logs?","When logs show older messages are rarely referenced - e.g., 94% of messages only reference the last 3-5 exchanges and the rest ask for easily re-stated info; keep the last 8-10 turns plus the system prompt.","Context Management & Reliability","medium","sliding-window,traffic-analysis"
"How should you handle accumulated RAG results that crowd out conversation coherence?","Apply a sliding window specifically to RAG results (keep the last 2-3 retrievals) while preserving conversation history under its own policy; aggressive dedup or one big digest is rarely better.","Context Management & Reliability","hard","sliding-window,rag"
"What does progressive summarization do?","Replaces older conversation blocks with a running structured summary while keeping recent turns verbatim.","Context Management & Reliability","easy","summarization,hybrid"
"What should a useful progressive summary explicitly extract?","Decisions, current preferences, open questions, and important facts - not a vague narrative that loses the exact facts users later ask about.","Context Management & Reliability","easy","summarization,structure"
"Why is increasing a sliding window from 25 to 50 turns rarely the right fix?","It just defers the limit; a hybrid of structured summaries for older turns plus recent turns verbatim preserves long-term continuity at much lower token cost.","Context Management & Reliability","hard","sliding-window,hybrid"
"What content needs a persistent reference section?","Content that must stay exact and stable across the whole conversation: story bibles, user-defined terms, critical safety info (allergies, medication interactions), and active scaling parameters.","Context Management & Reliability","easy","reference-section,safety"
"Why separate a reference section from the trimmed discussion?","Applying a single summarization pass over both risks losing the exact details (allergies, serving counts, definitions) the user expects to remain consistent.","Context Management & Reliability","medium","reference-section,summarization"
"For a dinner-party session with allergies, serving counts, and general back-and-forth, what strategy combination works?","Extract critical data into a compact reference section, summarize general discussion, and retain recent exchanges verbatim - a pure sliding window loses allergies; a single summary blurs the serving count.","Context Management & Reliability","hard","hybrid,reference-section"
"When users revise preferences mid-conversation, what is the most reliable design?","Maintain a canonical structured state object representing current truth and include it in each request; update it whenever a preference changes.","Context Management & Reliability","medium","structured-state,preferences"
"Why is structured state better than a system-prompt instruction to ""always prioritize the most recently stated preferences""?","The model usually does but not reliably enough; a single canonical state object gives one source of truth instead of asking the model to infer current truth from old and new values.","Context Management & Reliability","hard","structured-state,reliability"
"A user says ""very low risk tolerance"" then ""maximize returns like my friends did with crypto."" What should the agent do?","Surface the contradiction and ask which priority should govern; a balanced compromise risks recommending something that fits neither stated preference.","Context Management & Reliability","hard","conflicting-goals,clarification"
"How can structured state help a customer raising three issues across 45 turns?","Track each issue's current status (order ID, amounts, resolution state) independently of the linear conversation so the agent can reliably answer about any one later.","Context Management & Reliability","medium","structured-state,customer-service"
"When must you use retrieval or a fact store instead of summaries?","When users need exact p-values, source quotes, clauses, measurements, transaction IDs, or numeric thresholds - summaries lose precision.","Context Management & Reliability","easy","retrieval,fact-store"
"A research assistant summarizes after 8 turns but users then ask for precise numbers the summary blurred. Most direct fix?","Re-inject the relevant source sections on demand when a question signals it needs precision; a full structured fact store is heavier and higher-fidelity summaries balloon back into the document.","Context Management & Reliability","hard","retrieval,summarization"
"How should verbose tool results be compressed?","After a tool result is processed, extract the fields that matter and drop the rest (e.g., keep order_id, items, return_window, resolution_state; discard internal backend fields).","Context Management & Reliability","medium","tool-compression,context"
"A lookup_order tool returns 40+ fields and was called many times during a return investigation. Best handling?","Compress each prior order response to its return-relevant fields then make additional lookups - more reliable than accumulating raw responses, summarizing all into prose, or moving them to a vector DB.","Context Management & Reliability","hard","tool-compression,investigation"
"Why shouldn't a returning user be served from stale tool outputs in an old transcript?","Tool results age; start with a structured summary of prior interaction, then fetch fresh state before making claims about current status.","Context Management & Reliability","medium","stale-data,returning-users"
"What should a good returning-session summary contain?","User issue, prior actions, known IDs, last-known status with timestamp, and a fresh_lookup_required flag - then targeted fresh lookups.","Context Management & Reliability","medium","returning-users,summary"
"Why not just resume the old session and instruct the agent to ""prefer the most recent tool results""?","The agent often references old tool results regardless, especially when older ones are more detailed; starting fresh with a structured summary plus targeted fresh lookups is the most reliable pattern.","Context Management & Reliability","hard","stale-data,returning-users"
"When an external system updates state during an active chat, how should Claude learn about it?","Include the fresh state in the next model request (system/application context block, injected state section, or a prefix on the next user turn); do not expect Claude to know about events outside the request.","Context Management & Reliability","medium","external-updates,state"
"Should the agent emit unsolicited assistant messages when external state changes mid-chat?","No - do not generate unsolicited messages unless the product intentionally supports proactive notifications; just make current state clearly more authoritative than stale prior tool results.","Context Management & Reliability","medium","external-updates,proactive"
"Why version system prompts for users with ongoing multi-session conversations?","Changing a system prompt midstream can make old context conflict with new behavior; associate each conversation with the version it started under or use a deliberate migration strategy.","Context Management & Reliability","medium","prompt-versioning,sessions"
"What does ""confusing context capacity with attention"" mean?","A 200K window does not mean every detail is equally salient; large capacity does not guarantee the model attends equally to all of it.","Context Management & Reliability","medium","attention,context-window"
"Is the system prompt a one-time initialization message?","No. It must be included in every request; Claude has no memory between calls, so omitting it on later turns makes behavior diverge immediately, not gradually.","Context Management & Reliability","easy","system-prompt,stateless"
"Even when the system prompt is sent every call, why can behavior still drift in long conversations?","Attention to it weakens as recent assistant outputs and latest user turns compete for attention; the fix is structural - reinforce at breakpoints, version the prompt, move hard rules into code.","Context Management & Reliability","hard","prompt-dilution,attention"
"What are XML-style tags in a system prompt good for?","Improving salience and organization, especially when the same word means different things in different contexts and when you want constraints referenceable later (""apply the rule from <safety>""). They are not magic.","Context Management & Reliability","medium","system-prompt,xml-tags"
