"Front","Back","Domain","Difficulty","Tags"
"Which built-in tool searches for text inside files?","Grep - use it for text/content inside files, not filename search.","Claude Code Configuration & Workflows","easy","claude-code,grep"
"Which built-in tool finds files by path or name pattern?","Glob - use it for filenames and paths, not for finding code references inside files.","Claude Code Configuration & Workflows","easy","claude-code,glob"
"Which tool combination is best for a full file replacement?","Read then Write - read the file first, then write the full replacement.","Claude Code Configuration & Workflows","easy","claude-code,write"
"Which tool is best for a targeted unique edit to a file?","Edit or MultiEdit - for precise targeted changes rather than a full rewrite.","Claude Code Configuration & Workflows","easy","claude-code,edit"
"Why should you not use filename search to find code references inside files?","Glob matches paths/names only; finding code references requires Grep, which searches file contents.","Claude Code Configuration & Workflows","medium","grep,glob,tool-selection"
"Describe the recommended codebase exploration workflow.","Grep for route names/error codes/identifiers, read matching entry files, follow imports to core abstractions, trace one or two execution paths, and summarize in a scratchpad when long.","Claude Code Configuration & Workflows","medium","exploration,workflow"
"Why not read hundreds of files upfront when exploring a codebase?","It floods context; map first by searching from entry points and following imports, then read selectively.","Claude Code Configuration & Workflows","medium","exploration,context"
"How should you tell Claude Code to follow existing project patterns?","Give concrete context using file references like @src/payments/repository.ts or @docs/testing.md rather than vague instructions like ""follow our usual style.""","Claude Code Configuration & Workflows","medium","claude-code,file-references"
"When should you use direct execution rather than plan mode?","For small, localized, low-risk changes where the target is clear; plan mode adds overhead for tiny edits.","Claude Code Configuration & Workflows","easy","plan-mode,direct-execution"
"Name four situations where plan mode is appropriate.","Changes spanning many files, architectural choices, migrations or breaking changes, needing stakeholder approval, or wanting read-only exploration before implementation.","Claude Code Configuration & Workflows","medium","plan-mode,workflow"
"How do you start Claude Code in plan mode, and how do you toggle modes interactively?","Use --permission-mode plan to start in plan mode; Shift+Tab toggles modes in interactive sessions.","Claude Code Configuration & Workflows","easy","plan-mode,cli"
"For an urgent production bug, when should you switch from direct fix to planning?","Gather evidence first; if the fix is obvious and narrow, implement directly; if the root cause reveals broad architectural impact, switch to planning before a larger change.","Claude Code Configuration & Workflows","medium","plan-mode,debugging"
"How does plan mode differ from extended thinking?","Plan mode is a workflow-control session mode that gates the transition from thinking to doing for human review; extended thinking is a model capability giving more internal reasoning budget for hard problems. Different problems, can be combined.","Claude Code Configuration & Workflows","hard","plan-mode,extended-thinking"
"The agent jumps straight to edits without surfacing trade-offs. Plan mode or extended thinking?","Plan mode - it gates doing behind a reviewable plan. Extended thinking would address shallow analysis, not premature action.","Claude Code Configuration & Workflows","hard","plan-mode,extended-thinking"
"The agent gives shallow analyses on a complex problem. Plan mode or extended thinking?","Extended thinking - it increases reasoning quality on hard problems; plan mode would only gate actions, not deepen reasoning.","Claude Code Configuration & Workflows","medium","extended-thinking,reasoning"
"What does the --continue flag do?","Resumes the most recent conversation in the current directory without prompting - best when the latest in-progress work is definitely the one you want.","Claude Code Configuration & Workflows","easy","sessions,continue"
"What does the --resume (-r) flag do?","Resumes a specific saved session, opening a picker if no identifier is given - best for selecting a specific historical or named session.","Claude Code Configuration & Workflows","easy","sessions,resume"
"What does the --session-id flag do?","Uses (or creates) a session with a specific UUID - best for programmatic workflows that need a stable known identifier.","Claude Code Configuration & Workflows","easy","sessions,session-id"
"What does --fork-session do and when is it the right tool?","Creates a new session branched from an existing transcript; right for exploring an alternative path or evaluating two approaches from the same prior state without contaminating the original.","Claude Code Configuration & Workflows","medium","sessions,fork-session"
"Why is --continue risky in a directory where you worked on multiple unrelated tasks?","""The latest"" can be the wrong session; use a named or specific session when returning to a known investigation.","Claude Code Configuration & Workflows","medium","sessions,continue"
"Why is --fork-session preferable to resuming the original session twice for comparing two approaches?","The original stays untouched and each fork is a separate transcript copied at the fork point, so two diverging conversations don't get tangled and tool-call history is preserved.","Claude Code Configuration & Workflows","hard","sessions,fork-session"
"Sessions persist conversation history but not what?","Not filesystem state; for isolated file changes use git branches or worktrees.","Claude Code Configuration & Workflows","medium","sessions,worktrees"
