"Front","Back","Domain","Difficulty","Tags"
"What loop do agentic applications run?","They run an observe-reason-act-observe loop: the model sees current context, chooses a tool or response, incorporates results, and continues until the task is done or blocked.","Agentic Architecture & Orchestration","easy","agentic-loop,observe-act"
"Which agentic pattern fits a fixed three-stage code review (style, then security, then documentation)?","Prompt chaining, because the steps are known and fixed; chaining adds reliability by constraining the model to a known sequence.","Agentic Architecture & Orchestration","easy","prompt-chaining,patterns"
"Which pattern fits routing invoices, receipts, and contracts to different extraction tools?","Routing: inputs fall into distinct handling categories, so you classify then dispatch to the right handler.","Agentic Architecture & Orchestration","easy","routing,patterns"
"Which pattern fits debugging an intermittent backend failure where each finding changes the plan?","Dynamic decomposition, because the next step genuinely depends on what the model just learned; a fixed checklist would miss the actual cause.","Agentic Architecture & Orchestration","medium","dynamic-decomposition,investigation"
"Which pattern fits a research coordinator that decides which specialist subagents to invoke?","Orchestrator-workers: a coordinator chooses and delegates subtasks rather than following a fixed chain.","Agentic Architecture & Orchestration","easy","orchestrator-workers,patterns"
"When should you avoid the parallel-subagents pattern?","When workstreams depend on each other's results, when the partition would split a logical unit, or when sequential streaming output matters more than throughput.","Agentic Architecture & Orchestration","medium","parallel-subagents,dependencies"
"A billing-dispute workflow always runs verify identity, fetch invoice, check policy, propose adjustment. Chaining or dynamic decomposition?","Prompt chaining: the steps are genuinely fixed, so chaining gives reliability and consistent outputs; dynamic decomposition would invite unnecessary tool calls.","Agentic Architecture & Orchestration","medium","prompt-chaining,customer-service"
"A security incident triage must decide whether to pull logs, query a SIEM, page on-call, or all three. Which pattern?","Dynamic decomposition: the next move only becomes clear after the current finding, so a fixed chain would produce shallow analyses.","Agentic Architecture & Orchestration","medium","dynamic-decomposition,triage"
"Why is the choice of agentic pattern framed as matching the shape of work rather than picking the best pattern?","Each pattern trades reliability against adaptability; chaining suits fixed steps while decomposition suits exploratory work, so the right one depends on the task structure.","Agentic Architecture & Orchestration","hard","patterns,design-tradeoff"
"The user asks the coordinator to summarize three sentences it just retrieved. Delegate to a subagent or answer directly?","Answer directly: delegation adds a tool call, fresh context, separate invocation, and result passing; that overhead is wasteful when the coordinator already has the context and the work is small.","Agentic Architecture & Orchestration","medium","delegation,overhead"
